Entity,Code,Day,temperature_anomaly
Northern Hemisphere,,1885-12-15,-0.11
Northern Hemisphere,,1886-01-15,-0.74
Northern Hemisphere,,1886-02-15,-0.83
Northern Hemisphere,,1886-03-15,-0.72
Northern Hemisphere,,1886-04-15,-0.37
Northern Hemisphere,,1886-05-15,-0.33
Northern Hemisphere,,1886-06-15,-0.37
Northern Hemisphere,,1886-07-15,-0.15
Northern Hemisphere,,1886-08-15,-0.43
Northern Hemisphere,,1886-09-15,-0.33
Northern Hemisphere,,1886-10-15,-0.31
Northern Hemisphere,,1886-11-15,-0.39
Northern Hemisphere,,1886-12-15,-0.22
Northern Hemisphere,,1887-01-15,-1.08
Northern Hemisphere,,1887-02-15,-0.7
Northern Hemisphere,,1887-03-15,-0.44
Northern Hemisphere,,1887-04-15,-0.38
Northern Hemisphere,,1887-05-15,-0.25
Northern Hemisphere,,1887-06-15,-0.2
Northern Hemisphere,,1887-07-15,-0.24
Northern Hemisphere,,1887-08-15,-0.54
Northern Hemisphere,,1887-09-15,-0.21
Northern Hemisphere,,1887-10-15,-0.49
Northern Hemisphere,,1887-11-15,-0.27
Northern Hemisphere,,1887-12-15,-0.43
Northern Hemisphere,,1888-01-15,-0.49
Northern Hemisphere,,1888-02-15,-0.61
Northern Hemisphere,,1888-03-15,-0.64
Northern Hemisphere,,1888-04-15,-0.22
Northern Hemisphere,,1888-05-15,-0.15
Northern Hemisphere,,1888-06-15,-0.03
Northern Hemisphere,,1888-07-15,-0.01
Northern Hemisphere,,1888-08-15,-0.21
Northern Hemisphere,,1888-09-15,-0.2
Northern Hemisphere,,1888-10-15,-0.04
Northern Hemisphere,,1888-11-15,-0.01
Northern Hemisphere,,1888-12-15,-0.24
Northern Hemisphere,,1889-01-15,-0.28
Northern Hemisphere,,1889-02-15,0.29
Northern Hemisphere,,1889-03-15,-0.02
Northern Hemisphere,,1889-04-15,0.16
Northern Hemisphere,,1889-05-15,-0.04
Northern Hemisphere,,1889-06-15,-0.07
Northern Hemisphere,,1889-07-15,-0.09
Northern Hemisphere,,1889-08-15,-0.21
Northern Hemisphere,,1889-09-15,-0.3
Northern Hemisphere,,1889-10-15,-0.42
Northern Hemisphere,,1889-11-15,-0.62
Northern Hemisphere,,1889-12-15,-0.54
Northern Hemisphere,,1890-01-15,-0.63
Northern Hemisphere,,1890-02-15,-0.57
Northern Hemisphere,,1890-03-15,-0.47
Northern Hemisphere,,1890-04-15,-0.25
Northern Hemisphere,,1890-05-15,-0.35
Northern Hemisphere,,1890-06-15,-0.16
Northern Hemisphere,,1890-07-15,-0.23
Northern Hemisphere,,1890-08-15,-0.39
Northern Hemisphere,,1890-09-15,-0.35
Northern Hemisphere,,1890-10-15,-0.1
Northern Hemisphere,,1890-11-15,-0.62
Northern Hemisphere,,1890-12-15,-0.46
Northern Hemisphere,,1891-01-15,-0.46
Northern Hemisphere,,1891-02-15,-0.68
Northern Hemisphere,,1891-03-15,-0.16
Northern Hemisphere,,1891-04-15,-0.35
Northern Hemisphere,,1891-05-15,-0.15
Northern Hemisphere,,1891-06-15,-0.12
Northern Hemisphere,,1891-07-15,-0.12
Northern Hemisphere,,1891-08-15,-0.13
Northern Hemisphere,,1891-09-15,-0.08
Northern Hemisphere,,1891-10-15,-0.28
Northern Hemisphere,,1891-11-15,-0.52
Northern Hemisphere,,1891-12-15,-0.04
Northern Hemisphere,,1892-01-15,-0.5
Northern Hemisphere,,1892-02-15,-0.16
Northern Hemisphere,,1892-03-15,-0.67
Northern Hemisphere,,1892-04-15,-0.45
Northern Hemisphere,,1892-05-15,-0.24
Northern Hemisphere,,1892-06-15,-0.06
Northern Hemisphere,,1892-07-15,-0.38
Northern Hemisphere,,1892-08-15,-0.33
Northern Hemisphere,,1892-09-15,-0.2
Northern Hemisphere,,1892-10-15,-0.28
Northern Hemisphere,,1892-11-15,-0.82
Northern Hemisphere,,1892-12-15,-0.66
Northern Hemisphere,,1893-01-15,-1.52
Northern Hemisphere,,1893-02-15,-0.97
Northern Hemisphere,,1893-03-15,-0.33
Northern Hemisphere,,1893-04-15,-0.3
Northern Hemisphere,,1893-05-15,-0.44
Northern Hemisphere,,1893-06-15,-0.19
Northern Hemisphere,,1893-07-15,-0.14
Northern Hemisphere,,1893-08-15,-0.34
Northern Hemisphere,,1893-09-15,-0.29
Northern Hemisphere,,1893-10-15,-0.28
Northern Hemisphere,,1893-11-15,-0.34
Northern Hemisphere,,1893-12-15,-0.6
Northern Hemisphere,,1894-01-15,-0.92
Northern Hemisphere,,1894-02-15,-0.42
Northern Hemisphere,,1894-03-15,-0.22
Northern Hemisphere,,1894-04-15,-0.54
Northern Hemisphere,,1894-05-15,-0.26
Northern Hemisphere,,1894-06-15,-0.41
Northern Hemisphere,,1894-07-15,-0.21
Northern Hemisphere,,1894-08-15,-0.27
Northern Hemisphere,,1894-09-15,-0.33
Northern Hemisphere,,1894-10-15,-0.28
Northern Hemisphere,,1894-11-15,-0.48
Northern Hemisphere,,1894-12-15,-0.36
Northern Hemisphere,,1895-01-15,-0.7
Northern Hemisphere,,1895-02-15,-0.81
Northern Hemisphere,,1895-03-15,-0.51
Northern Hemisphere,,1895-04-15,-0.19
Northern Hemisphere,,1895-05-15,-0.3
Northern Hemisphere,,1895-06-15,-0.21
Northern Hemisphere,,1895-07-15,-0.19
Northern Hemisphere,,1895-08-15,-0.28
Northern Hemisphere,,1895-09-15,-0.07
Northern Hemisphere,,1895-10-15,-0.1
Northern Hemisphere,,1895-11-15,-0.14
Northern Hemisphere,,1895-12-15,-0.23
Northern Hemisphere,,1896-01-15,-0.37
Northern Hemisphere,,1896-02-15,-0.19
Northern Hemisphere,,1896-03-15,-0.51
Northern Hemisphere,,1896-04-15,-0.61
Northern Hemisphere,,1896-05-15,-0.17
Northern Hemisphere,,1896-06-15,0.07
Northern Hemisphere,,1896-07-15,-0.01
Northern Hemisphere,,1896-08-15,-0.12
Northern Hemisphere,,1896-09-15,-0.13
Northern Hemisphere,,1896-10-15,0.04
Northern Hemisphere,,1896-11-15,-0.21
Northern Hemisphere,,1896-12-15,-0.22
Northern Hemisphere,,1897-01-15,-0.41
Northern Hemisphere,,1897-02-15,-0.43
Northern Hemisphere,,1897-03-15,-0.41
Northern Hemisphere,,1897-04-15,-0.06
Northern Hemisphere,,1897-05-15,0.13
Northern Hemisphere,,1897-06-15,-0.07
Northern Hemisphere,,1897-07-15,0.03
Northern Hemisphere,,1897-08-15,-0.07
Northern Hemisphere,,1897-09-15,-0.07
Northern Hemisphere,,1897-10-15,-0.15
Northern Hemisphere,,1897-11-15,-0.28
Northern Hemisphere,,1897-12-15,-0.28
Northern Hemisphere,,1898-01-15,0.06
Northern Hemisphere,,1898-02-15,-0.46
Northern Hemisphere,,1898-03-15,-0.8
Northern Hemisphere,,1898-04-15,-0.28
Northern Hemisphere,,1898-05-15,-0.27
Northern Hemisphere,,1898-06-15,-0.08
Northern Hemisphere,,1898-07-15,-0.11
Northern Hemisphere,,1898-08-15,-0.17
Northern Hemisphere,,1898-09-15,-0.18
Northern Hemisphere,,1898-10-15,-0.37
Northern Hemisphere,,1898-11-15,-0.51
Northern Hemisphere,,1898-12-15,-0.27
Northern Hemisphere,,1899-01-15,-0.12
Northern Hemisphere,,1899-02-15,-0.65
Northern Hemisphere,,1899-03-15,-0.59
Northern Hemisphere,,1899-04-15,-0.24
Northern Hemisphere,,1899-05-15,-0.25
Northern Hemisphere,,1899-06-15,-0.35
Northern Hemisphere,,1899-07-15,-0.17
Northern Hemisphere,,1899-08-15,-0.08
Northern Hemisphere,,1899-09-15,-0.06
Northern Hemisphere,,1899-10-15,0.03
Northern Hemisphere,,1899-11-15,0.36
Northern Hemisphere,,1899-12-15,-0.47
Northern Hemisphere,,1/15/1900,-0.62
Northern Hemisphere,,2/15/1900,-0.14
Northern Hemisphere,,3/15/1900,0.05
Northern Hemisphere,,4/15/1900,-0.1
Northern Hemisphere,,5/15/1900,-0.04
Northern Hemisphere,,6/15/1900,-0.1
Northern Hemisphere,,7/15/1900,-0.12
Northern Hemisphere,,8/15/1900,-0.1
Northern Hemisphere,,9/15/1900,-0.03
Northern Hemisphere,,10/15/1900,0.23
Northern Hemisphere,,11/15/1900,-0.12
Northern Hemisphere,,12/15/1900,-0.03
Northern Hemisphere,,1/15/1901,-0.34
Northern Hemisphere,,2/15/1901,-0.1
Northern Hemisphere,,3/15/1901,0.27
Northern Hemisphere,,4/15/1901,0.11
Northern Hemisphere,,5/15/1901,-0.12
Northern Hemisphere,,6/15/1901,0
Northern Hemisphere,,7/15/1901,0.01
Northern Hemisphere,,8/15/1901,-0.17
Northern Hemisphere,,9/15/1901,-0.28
Northern Hemisphere,,10/15/1901,-0.33
Northern Hemisphere,,11/15/1901,-0.23
Northern Hemisphere,,12/15/1901,-0.42
Northern Hemisphere,,1/15/1902,-0.17
Northern Hemisphere,,2/15/1902,0
Northern Hemisphere,,3/15/1902,-0.4
Northern Hemisphere,,4/15/1902,-0.39
Northern Hemisphere,,5/15/1902,-0.4
Northern Hemisphere,,6/15/1902,-0.38
Northern Hemisphere,,7/15/1902,-0.34
Northern Hemisphere,,8/15/1902,-0.29
Northern Hemisphere,,9/15/1902,-0.34
Northern Hemisphere,,10/15/1902,-0.3
Northern Hemisphere,,11/15/1902,-0.45
Northern Hemisphere,,12/15/1902,-0.6
Northern Hemisphere,,1/15/1903,-0.23
Northern Hemisphere,,2/15/1903,0.11
Northern Hemisphere,,3/15/1903,-0.16
Northern Hemisphere,,4/15/1903,-0.47
Northern Hemisphere,,5/15/1903,-0.44
Northern Hemisphere,,6/15/1903,-0.46
Northern Hemisphere,,7/15/1903,-0.45
Northern Hemisphere,,8/15/1903,-0.56
Northern Hemisphere,,9/15/1903,-0.51
Northern Hemisphere,,10/15/1903,-0.51
Northern Hemisphere,,11/15/1903,-0.43
Northern Hemisphere,,12/15/1903,-0.57
Northern Hemisphere,,1/15/1904,-0.78
Northern Hemisphere,,2/15/1904,-0.6
Northern Hemisphere,,3/15/1904,-0.41
Northern Hemisphere,,4/15/1904,-0.51
Northern Hemisphere,,5/15/1904,-0.44
Northern Hemisphere,,6/15/1904,-0.49
Northern Hemisphere,,7/15/1904,-0.59
Northern Hemisphere,,8/15/1904,-0.54
Northern Hemisphere,,9/15/1904,-0.64
Northern Hemisphere,,10/15/1904,-0.39
Northern Hemisphere,,11/15/1904,-0.09
Northern Hemisphere,,12/15/1904,-0.35
Northern Hemisphere,,1/15/1905,-0.42
Northern Hemisphere,,2/15/1905,-0.82
Northern Hemisphere,,3/15/1905,-0.24
Northern Hemisphere,,4/15/1905,-0.46
Northern Hemisphere,,5/15/1905,-0.29
Northern Hemisphere,,6/15/1905,-0.28
Northern Hemisphere,,7/15/1905,-0.22
Northern Hemisphere,,8/15/1905,-0.24
Northern Hemisphere,,9/15/1905,-0.2
Northern Hemisphere,,10/15/1905,-0.28
Northern Hemisphere,,11/15/1905,0.08
Northern Hemisphere,,12/15/1905,-0.18
Northern Hemisphere,,1/15/1906,-0.56
Northern Hemisphere,,2/15/1906,-0.54
Northern Hemisphere,,3/15/1906,-0.21
Northern Hemisphere,,4/15/1906,0.04
Northern Hemisphere,,5/15/1906,-0.25
Northern Hemisphere,,6/15/1906,-0.11
Northern Hemisphere,,7/15/1906,-0.27
Northern Hemisphere,,8/15/1906,-0.18
Northern Hemisphere,,9/15/1906,-0.25
Northern Hemisphere,,10/15/1906,-0.19
Northern Hemisphere,,11/15/1906,-0.4
Northern Hemisphere,,12/15/1906,0.02
Northern Hemisphere,,1/15/1907,-0.59
Northern Hemisphere,,2/15/1907,-0.73
Northern Hemisphere,,3/15/1907,-0.32
Northern Hemisphere,,4/15/1907,-0.46
Northern Hemisphere,,5/15/1907,-0.59
Northern Hemisphere,,6/15/1907,-0.51
Northern Hemisphere,,7/15/1907,-0.4
Northern Hemisphere,,8/15/1907,-0.39
Northern Hemisphere,,9/15/1907,-0.41
Northern Hemisphere,,10/15/1907,-0.2
Northern Hemisphere,,11/15/1907,-0.56
Northern Hemisphere,,12/15/1907,-0.58
Northern Hemisphere,,1/15/1908,-0.55
Northern Hemisphere,,2/15/1908,-0.28
Northern Hemisphere,,3/15/1908,-0.71
Northern Hemisphere,,4/15/1908,-0.48
Northern Hemisphere,,5/15/1908,-0.3
Northern Hemisphere,,6/15/1908,-0.31
Northern Hemisphere,,7/15/1908,-0.36
Northern Hemisphere,,8/15/1908,-0.57
Northern Hemisphere,,9/15/1908,-0.31
Northern Hemisphere,,10/15/1908,-0.45
Northern Hemisphere,,11/15/1908,-0.63
Northern Hemisphere,,12/15/1908,-0.56
Northern Hemisphere,,1/15/1909,-0.93
Northern Hemisphere,,2/15/1909,-0.46
Northern Hemisphere,,3/15/1909,-0.68
Northern Hemisphere,,4/15/1909,-0.66
Northern Hemisphere,,5/15/1909,-0.49
Northern Hemisphere,,6/15/1909,-0.51
Northern Hemisphere,,7/15/1909,-0.45
Northern Hemisphere,,8/15/1909,-0.35
Northern Hemisphere,,9/15/1909,-0.37
Northern Hemisphere,,10/15/1909,-0.34
Northern Hemisphere,,11/15/1909,-0.11
Northern Hemisphere,,12/15/1909,-0.58
Northern Hemisphere,,1/15/1910,-0.35
Northern Hemisphere,,2/15/1910,-0.38
Northern Hemisphere,,3/15/1910,-0.5
Northern Hemisphere,,4/15/1910,-0.41
Northern Hemisphere,,5/15/1910,-0.31
Northern Hemisphere,,6/15/1910,-0.46
Northern Hemisphere,,7/15/1910,-0.39
Northern Hemisphere,,8/15/1910,-0.41
Northern Hemisphere,,9/15/1910,-0.44
Northern Hemisphere,,10/15/1910,-0.32
Northern Hemisphere,,11/15/1910,-0.58
Northern Hemisphere,,12/15/1910,-0.81
Northern Hemisphere,,1/15/1911,-0.71
Northern Hemisphere,,2/15/1911,-0.59
Northern Hemisphere,,3/15/1911,-0.65
Northern Hemisphere,,4/15/1911,-0.45
Northern Hemisphere,,5/15/1911,-0.45
Northern Hemisphere,,6/15/1911,-0.34
Northern Hemisphere,,7/15/1911,-0.37
Northern Hemisphere,,8/15/1911,-0.44
Northern Hemisphere,,9/15/1911,-0.38
Northern Hemisphere,,10/15/1911,-0.2
Northern Hemisphere,,11/15/1911,-0.2
Northern Hemisphere,,12/15/1911,-0.3
Northern Hemisphere,,1/15/1912,-0.34
Northern Hemisphere,,2/15/1912,-0.17
Northern Hemisphere,,3/15/1912,-0.6
Northern Hemisphere,,4/15/1912,-0.16
Northern Hemisphere,,5/15/1912,-0.12
Northern Hemisphere,,6/15/1912,-0.13
Northern Hemisphere,,7/15/1912,-0.52
Northern Hemisphere,,8/15/1912,-0.77
Northern Hemisphere,,9/15/1912,-0.81
Northern Hemisphere,,10/15/1912,-0.84
Northern Hemisphere,,11/15/1912,-0.51
Northern Hemisphere,,12/15/1912,-0.57
Northern Hemisphere,,1/15/1913,-0.56
Northern Hemisphere,,2/15/1913,-0.64
Northern Hemisphere,,3/15/1913,-0.48
Northern Hemisphere,,4/15/1913,-0.5
Northern Hemisphere,,5/15/1913,-0.55
Northern Hemisphere,,6/15/1913,-0.49
Northern Hemisphere,,7/15/1913,-0.51
Northern Hemisphere,,8/15/1913,-0.47
Northern Hemisphere,,9/15/1913,-0.42
Northern Hemisphere,,10/15/1913,-0.4
Northern Hemisphere,,11/15/1913,-0.15
Northern Hemisphere,,12/15/1913,0.1
Northern Hemisphere,,1/15/1914,0.17
Northern Hemisphere,,2/15/1914,-0.11
Northern Hemisphere,,3/15/1914,-0.36
Northern Hemisphere,,4/15/1914,-0.39
Northern Hemisphere,,5/15/1914,-0.19
Northern Hemisphere,,6/15/1914,-0.23
Northern Hemisphere,,7/15/1914,-0.34
Northern Hemisphere,,8/15/1914,-0.28
Northern Hemisphere,,9/15/1914,-0.31
Northern Hemisphere,,10/15/1914,-0.01
Northern Hemisphere,,11/15/1914,-0.23
Northern Hemisphere,,12/15/1914,-0.06
Northern Hemisphere,,1/15/1915,-0.27
Northern Hemisphere,,2/15/1915,-0.09
Northern Hemisphere,,3/15/1915,-0.24
Northern Hemisphere,,4/15/1915,0.07
Northern Hemisphere,,5/15/1915,-0.02
Northern Hemisphere,,6/15/1915,-0.13
Northern Hemisphere,,7/15/1915,-0.1
Northern Hemisphere,,8/15/1915,-0.16
Northern Hemisphere,,9/15/1915,-0.22
Northern Hemisphere,,10/15/1915,-0.28
Northern Hemisphere,,11/15/1915,-0.04
Northern Hemisphere,,12/15/1915,-0.27
Northern Hemisphere,,1/15/1916,-0.1
Northern Hemisphere,,2/15/1916,-0.17
Northern Hemisphere,,3/15/1916,-0.4
Northern Hemisphere,,4/15/1916,-0.35
Northern Hemisphere,,5/15/1916,-0.37
Northern Hemisphere,,6/15/1916,-0.51
Northern Hemisphere,,7/15/1916,-0.35
Northern Hemisphere,,8/15/1916,-0.38
Northern Hemisphere,,9/15/1916,-0.5
Northern Hemisphere,,10/15/1916,-0.36
Northern Hemisphere,,11/15/1916,-0.48
Northern Hemisphere,,12/15/1916,-1.15
Northern Hemisphere,,1/15/1917,-0.55
Northern Hemisphere,,2/15/1917,-0.69
Northern Hemisphere,,3/15/1917,-0.76
Northern Hemisphere,,4/15/1917,-0.66
Northern Hemisphere,,5/15/1917,-0.74
Northern Hemisphere,,6/15/1917,-0.5
Northern Hemisphere,,7/15/1917,-0.33
Northern Hemisphere,,8/15/1917,-0.41
Northern Hemisphere,,9/15/1917,-0.32
Northern Hemisphere,,10/15/1917,-0.64
Northern Hemisphere,,11/15/1917,-0.33
Northern Hemisphere,,12/15/1917,-1.06
Northern Hemisphere,,1/15/1918,-0.7
Northern Hemisphere,,2/15/1918,-0.46
Northern Hemisphere,,3/15/1918,-0.26
Northern Hemisphere,,4/15/1918,-0.6
Northern Hemisphere,,5/15/1918,-0.49
Northern Hemisphere,,6/15/1918,-0.46
Northern Hemisphere,,7/15/1918,-0.35
Northern Hemisphere,,8/15/1918,-0.38
Northern Hemisphere,,9/15/1918,-0.27
Northern Hemisphere,,10/15/1918,-0.05
Northern Hemisphere,,11/15/1918,-0.23
Northern Hemisphere,,12/15/1918,-0.57
Northern Hemisphere,,1/15/1919,-0.39
Northern Hemisphere,,2/15/1919,-0.42
Northern Hemisphere,,3/15/1919,-0.39
Northern Hemisphere,,4/15/1919,-0.24
Northern Hemisphere,,5/15/1919,-0.42
Northern Hemisphere,,6/15/1919,-0.4
Northern Hemisphere,,7/15/1919,-0.34
Northern Hemisphere,,8/15/1919,-0.31
Northern Hemisphere,,9/15/1919,-0.2
Northern Hemisphere,,10/15/1919,-0.1
Northern Hemisphere,,11/15/1919,-0.48
Northern Hemisphere,,12/15/1919,-0.56
Northern Hemisphere,,1/15/1920,-0.15
Northern Hemisphere,,2/15/1920,-0.29
Northern Hemisphere,,3/15/1920,-0.01
Northern Hemisphere,,4/15/1920,-0.21
Northern Hemisphere,,5/15/1920,-0.22
Northern Hemisphere,,6/15/1920,-0.26
Northern Hemisphere,,7/15/1920,-0.26
Northern Hemisphere,,8/15/1920,-0.33
Northern Hemisphere,,9/15/1920,-0.36
Northern Hemisphere,,10/15/1920,-0.41
Northern Hemisphere,,11/15/1920,-0.46
Northern Hemisphere,,12/15/1920,-0.72
Northern Hemisphere,,1/15/1921,0.18
Northern Hemisphere,,2/15/1921,-0.09
Northern Hemisphere,,3/15/1921,-0.12
Northern Hemisphere,,4/15/1921,-0.18
Northern Hemisphere,,5/15/1921,-0.25
Northern Hemisphere,,6/15/1921,-0.16
Northern Hemisphere,,7/15/1921,-0.04
Northern Hemisphere,,8/15/1921,-0.3
Northern Hemisphere,,9/15/1921,-0.18
Northern Hemisphere,,10/15/1921,-0.01
Northern Hemisphere,,11/15/1921,-0.1
Northern Hemisphere,,12/15/1921,-0.14
Northern Hemisphere,,1/15/1922,-0.38
Northern Hemisphere,,2/15/1922,-0.63
Northern Hemisphere,,3/15/1922,-0.12
Northern Hemisphere,,4/15/1922,-0.16
Northern Hemisphere,,5/15/1922,-0.2
Northern Hemisphere,,6/15/1922,-0.16
Northern Hemisphere,,7/15/1922,-0.29
Northern Hemisphere,,8/15/1922,-0.37
Northern Hemisphere,,9/15/1922,-0.44
Northern Hemisphere,,10/15/1922,-0.33
Northern Hemisphere,,11/15/1922,-0.14
Northern Hemisphere,,12/15/1922,-0.15
Northern Hemisphere,,1/15/1923,-0.19
Northern Hemisphere,,2/15/1923,-0.47
Northern Hemisphere,,3/15/1923,-0.4
Northern Hemisphere,,4/15/1923,-0.53
Northern Hemisphere,,5/15/1923,-0.39
Northern Hemisphere,,6/15/1923,-0.24
Northern Hemisphere,,7/15/1923,-0.29
Northern Hemisphere,,8/15/1923,-0.28
Northern Hemisphere,,9/15/1923,-0.17
Northern Hemisphere,,10/15/1923,0.06
Northern Hemisphere,,11/15/1923,0.15
Northern Hemisphere,,12/15/1923,0.09
Northern Hemisphere,,1/15/1924,-0.29
Northern Hemisphere,,2/15/1924,-0.22
Northern Hemisphere,,3/15/1924,0.02
Northern Hemisphere,,4/15/1924,-0.29
Northern Hemisphere,,5/15/1924,-0.06
Northern Hemisphere,,6/15/1924,-0.19
Northern Hemisphere,,7/15/1924,-0.22
Northern Hemisphere,,8/15/1924,-0.27
Northern Hemisphere,,9/15/1924,-0.23
Northern Hemisphere,,10/15/1924,-0.24
Northern Hemisphere,,11/15/1924,0.1
Northern Hemisphere,,12/15/1924,-0.37
Northern Hemisphere,,1/15/1925,-0.29
Northern Hemisphere,,2/15/1925,-0.39
Northern Hemisphere,,3/15/1925,-0.24
Northern Hemisphere,,4/15/1925,-0.16
Northern Hemisphere,,5/15/1925,-0.22
Northern Hemisphere,,6/15/1925,-0.25
Northern Hemisphere,,7/15/1925,-0.26
Northern Hemisphere,,8/15/1925,-0.19
Northern Hemisphere,,9/15/1925,-0.04
Northern Hemisphere,,10/15/1925,-0.09
Northern Hemisphere,,11/15/1925,0.22
Northern Hemisphere,,12/15/1925,0.22
Northern Hemisphere,,1/15/1926,0.53
Northern Hemisphere,,2/15/1926,0.19
Northern Hemisphere,,3/15/1926,0.37
Northern Hemisphere,,4/15/1926,-0.12
Northern Hemisphere,,5/15/1926,-0.23
Northern Hemisphere,,6/15/1926,-0.2
Northern Hemisphere,,7/15/1926,-0.2
Northern Hemisphere,,8/15/1926,-0.06
Northern Hemisphere,,9/15/1926,-0.02
Northern Hemisphere,,10/15/1926,0.07
Northern Hemisphere,,11/15/1926,0.17
Northern Hemisphere,,12/15/1926,-0.29
Northern Hemisphere,,1/15/1927,-0.29
Northern Hemisphere,,2/15/1927,-0.08
Northern Hemisphere,,3/15/1927,-0.47
Northern Hemisphere,,4/15/1927,-0.27
Northern Hemisphere,,5/15/1927,-0.13
Northern Hemisphere,,6/15/1927,-0.14
Northern Hemisphere,,7/15/1927,-0.08
Northern Hemisphere,,8/15/1927,-0.17
Northern Hemisphere,,9/15/1927,0.02
Northern Hemisphere,,10/15/1927,0.24
Northern Hemisphere,,11/15/1927,0.08
Northern Hemisphere,,12/15/1927,-0.38
Northern Hemisphere,,1/15/1928,0.27
Northern Hemisphere,,2/15/1928,0.09
Northern Hemisphere,,3/15/1928,-0.24
Northern Hemisphere,,4/15/1928,-0.32
Northern Hemisphere,,5/15/1928,-0.17
Northern Hemisphere,,6/15/1928,-0.32
Northern Hemisphere,,7/15/1928,-0.11
Northern Hemisphere,,8/15/1928,-0.19
Northern Hemisphere,,9/15/1928,-0.16
Northern Hemisphere,,10/15/1928,-0.09
Northern Hemisphere,,11/15/1928,0.05
Northern Hemisphere,,12/15/1928,-0.04
Northern Hemisphere,,1/15/1929,-0.56
Northern Hemisphere,,2/15/1929,-0.79
Northern Hemisphere,,3/15/1929,-0.19
Northern Hemisphere,,4/15/1929,-0.35
Northern Hemisphere,,5/15/1929,-0.28
Northern Hemisphere,,6/15/1929,-0.39
Northern Hemisphere,,7/15/1929,-0.36
Northern Hemisphere,,8/15/1929,-0.2
Northern Hemisphere,,9/15/1929,-0.2
Northern Hemisphere,,10/15/1929,-0.01
Northern Hemisphere,,11/15/1929,-0.02
Northern Hemisphere,,12/15/1929,-0.66
Northern Hemisphere,,1/15/1930,-0.11
Northern Hemisphere,,2/15/1930,-0.2
Northern Hemisphere,,3/15/1930,0.1
Northern Hemisphere,,4/15/1930,-0.16
Northern Hemisphere,,5/15/1930,-0.2
Northern Hemisphere,,6/15/1930,-0.12
Northern Hemisphere,,7/15/1930,-0.03
Northern Hemisphere,,8/15/1930,0.02
Northern Hemisphere,,9/15/1930,-0.02
