Entity,Code,Day,average_co2_concentrations,trend_co2_concentrations
World,OWID_WRL,2/15/1987,348.55,347.46
World,OWID_WRL,3/15/1987,349.27,347.85
World,OWID_WRL,4/15/1987,349.96,348.27
World,OWID_WRL,5/15/1987,350.23,348.66
World,OWID_WRL,6/15/1987,349.46,348.8
World,OWID_WRL,7/15/1987,347.89,348.88
World,OWID_WRL,8/15/1987,346.65,349.03
World,OWID_WRL,9/15/1987,346.69,349.14
World,OWID_WRL,10/15/1987,347.96,349.35
World,OWID_WRL,11/15/1987,349.24,349.56
World,OWID_WRL,12/15/1987,350.19,349.88
World,OWID_WRL,1/15/1988,350.91,350.12
World,OWID_WRL,2/15/1988,351.47,350.39
World,OWID_WRL,3/15/1988,351.85,350.38
World,OWID_WRL,4/15/1988,352.3,350.52
World,OWID_WRL,5/15/1988,352.46,350.83
World,OWID_WRL,6/15/1988,351.76,351.06
World,OWID_WRL,7/15/1988,350.28,351.27
World,OWID_WRL,8/15/1988,349.09,351.55
World,OWID_WRL,9/15/1988,349.27,351.79
World,OWID_WRL,10/15/1988,350.44,351.85
World,OWID_WRL,11/15/1988,351.61,351.96
World,OWID_WRL,12/15/1988,352.46,352.18
World,OWID_WRL,1/15/1989,353,352.17
World,OWID_WRL,2/15/1989,353.45,352.34
World,OWID_WRL,3/15/1989,354,352.57
World,OWID_WRL,4/15/1989,354.38,352.6
World,OWID_WRL,5/15/1989,354.19,352.51
World,OWID_WRL,6/15/1989,353.26,352.56
World,OWID_WRL,7/15/1989,351.56,352.59
World,OWID_WRL,8/15/1989,350.21,352.69
World,OWID_WRL,9/15/1989,350.56,353.09
World,OWID_WRL,10/15/1989,351.85,353.28
World,OWID_WRL,11/15/1989,353.03,353.37
World,OWID_WRL,12/15/1989,353.9,353.59
World,OWID_WRL,1/15/1990,354.45,353.7
World,OWID_WRL,2/15/1990,354.87,353.79
World,OWID_WRL,3/15/1990,355.19,353.77
World,OWID_WRL,4/15/1990,355.5,353.73
World,OWID_WRL,5/15/1990,355.39,353.73
World,OWID_WRL,6/15/1990,354.31,353.66
World,OWID_WRL,7/15/1990,352.7,353.78
World,OWID_WRL,8/15/1990,351.6,354.1
World,OWID_WRL,9/15/1990,351.8,354.32
World,OWID_WRL,10/15/1990,353.18,354.57
World,OWID_WRL,11/15/1990,354.44,354.72
World,OWID_WRL,12/15/1990,355.18,354.72
World,OWID_WRL,1/15/1991,355.74,354.97
World,OWID_WRL,2/15/1991,356.17,355.06
World,OWID_WRL,3/15/1991,356.69,355.26
World,OWID_WRL,4/15/1991,357.21,355.46
World,OWID_WRL,5/15/1991,357.1,355.47
World,OWID_WRL,6/15/1991,356.17,355.57
World,OWID_WRL,7/15/1991,354.52,355.63
World,OWID_WRL,8/15/1991,353.03,355.53
World,OWID_WRL,9/15/1991,352.9,355.43
World,OWID_WRL,10/15/1991,354.02,355.4
World,OWID_WRL,11/15/1991,355.15,355.4
World,OWID_WRL,12/15/1991,355.95,355.46
World,OWID_WRL,1/15/1992,356.53,355.74
World,OWID_WRL,2/15/1992,356.89,355.76
World,OWID_WRL,3/15/1992,357.27,355.8
World,OWID_WRL,4/15/1992,357.76,355.97
World,OWID_WRL,5/15/1992,357.84,356.2
World,OWID_WRL,6/15/1992,356.88,356.29
World,OWID_WRL,7/15/1992,355.17,356.32
World,OWID_WRL,8/15/1992,353.67,356.23
World,OWID_WRL,9/15/1992,353.6,356.16
World,OWID_WRL,10/15/1992,354.81,356.21
World,OWID_WRL,11/15/1992,355.99,356.23
World,OWID_WRL,12/15/1992,356.75,356.26
World,OWID_WRL,1/15/1993,357.2,356.37
World,OWID_WRL,2/15/1993,357.55,356.39
World,OWID_WRL,3/15/1993,357.96,356.51
World,OWID_WRL,4/15/1993,358.41,356.65
World,OWID_WRL,5/15/1993,358.37,356.72
World,OWID_WRL,6/15/1993,357.35,356.69
World,OWID_WRL,7/15/1993,355.73,356.75
World,OWID_WRL,8/15/1993,354.44,356.91
World,OWID_WRL,9/15/1993,354.47,357.05
World,OWID_WRL,10/15/1993,355.7,357.17
World,OWID_WRL,11/15/1993,356.95,357.29
World,OWID_WRL,12/15/1993,357.86,357.49
World,OWID_WRL,1/15/1994,358.48,357.63
World,OWID_WRL,2/15/1994,359.02,357.86
World,OWID_WRL,3/15/1994,359.36,357.91
World,OWID_WRL,4/15/1994,359.71,357.93
World,OWID_WRL,5/15/1994,359.74,358.06
World,OWID_WRL,6/15/1994,358.81,358.11
World,OWID_WRL,7/15/1994,357.28,358.27
World,OWID_WRL,8/15/1994,356.05,358.56
World,OWID_WRL,9/15/1994,356.01,358.67
World,OWID_WRL,10/15/1994,357.26,358.8
World,OWID_WRL,11/15/1994,358.69,359.04
World,OWID_WRL,12/15/1994,359.55,359.15
World,OWID_WRL,1/15/1995,360.15,359.31
World,OWID_WRL,2/15/1995,360.63,359.53
World,OWID_WRL,3/15/1995,361.09,359.71
World,OWID_WRL,4/15/1995,361.56,359.85
World,OWID_WRL,5/15/1995,361.47,359.84
World,OWID_WRL,6/15/1995,360.61,359.92
World,OWID_WRL,7/15/1995,359,360
World,OWID_WRL,8/15/1995,357.73,360.21
World,OWID_WRL,9/15/1995,358.06,360.65
World,OWID_WRL,10/15/1995,359.43,360.89
World,OWID_WRL,11/15/1995,360.77,361.05
World,OWID_WRL,12/15/1995,361.65,361.19
World,OWID_WRL,1/15/1996,362.14,361.22
World,OWID_WRL,2/15/1996,362.5,361.32
World,OWID_WRL,3/15/1996,362.82,361.4
World,OWID_WRL,4/15/1996,363.14,361.42
World,OWID_WRL,5/15/1996,363.29,361.68
World,OWID_WRL,6/15/1996,362.88,362.22
World,OWID_WRL,7/15/1996,361.57,362.61
World,OWID_WRL,8/15/1996,360.06,362.57
World,OWID_WRL,9/15/1996,359.7,362.31
World,OWID_WRL,10/15/1996,360.67,362.16
World,OWID_WRL,11/15/1996,361.78,362.08
World,OWID_WRL,12/15/1996,362.64,362.2
World,OWID_WRL,1/15/1997,363.28,362.33
World,OWID_WRL,2/15/1997,363.65,362.47
World,OWID_WRL,3/15/1997,364.03,362.62
World,OWID_WRL,4/15/1997,364.5,362.81
World,OWID_WRL,5/15/1997,364.51,362.94
World,OWID_WRL,6/15/1997,363.6,362.97
World,OWID_WRL,7/15/1997,361.93,362.97
World,OWID_WRL,8/15/1997,360.41,362.9
World,OWID_WRL,9/15/1997,360.41,363.02
World,OWID_WRL,10/15/1997,361.94,363.42
World,OWID_WRL,11/15/1997,363.61,363.89
World,OWID_WRL,12/15/1997,364.68,364.23
World,OWID_WRL,1/15/1998,365.19,364.26
World,OWID_WRL,2/15/1998,365.46,364.3
World,OWID_WRL,3/15/1998,365.93,364.53
World,OWID_WRL,4/15/1998,366.58,364.9
World,OWID_WRL,5/15/1998,366.86,365.32
World,OWID_WRL,6/15/1998,366.27,365.67
World,OWID_WRL,7/15/1998,364.84,365.89
World,OWID_WRL,8/15/1998,363.79,366.28
World,OWID_WRL,9/15/1998,364.04,366.62
World,OWID_WRL,10/15/1998,365.34,366.78
World,OWID_WRL,11/15/1998,366.6,366.85
World,OWID_WRL,12/15/1998,367.47,366.97
World,OWID_WRL,1/15/1999,368.12,367.19
World,OWID_WRL,2/15/1999,368.52,367.37
World,OWID_WRL,3/15/1999,368.91,367.52
World,OWID_WRL,4/15/1999,369.3,367.65
World,OWID_WRL,5/15/1999,369.21,367.7
World,OWID_WRL,6/15/1999,368.36,367.79
World,OWID_WRL,7/15/1999,366.69,367.74
World,OWID_WRL,8/15/1999,365.33,367.78
World,OWID_WRL,9/15/1999,365.44,368
World,OWID_WRL,10/15/1999,366.75,368.18
World,OWID_WRL,11/15/1999,368.05,368.28
World,OWID_WRL,12/15/1999,368.88,368.36
World,OWID_WRL,1/15/2000,369.41,368.5
World,OWID_WRL,2/15/2000,369.68,368.54
World,OWID_WRL,3/15/2000,370,368.6
World,OWID_WRL,4/15/2000,370.37,368.69
World,OWID_WRL,5/15/2000,370.25,368.72
World,OWID_WRL,6/15/2000,369.31,368.79
World,OWID_WRL,7/15/2000,367.91,369.05
World,OWID_WRL,8/15/2000,366.75,369.26
World,OWID_WRL,9/15/2000,366.7,369.24
World,OWID_WRL,10/15/2000,367.92,369.3
World,OWID_WRL,11/15/2000,369.29,369.46
World,OWID_WRL,12/15/2000,370.12,369.54
World,OWID_WRL,1/15/2001,370.69,369.79
World,OWID_WRL,2/15/2001,371.18,370.03
World,OWID_WRL,3/15/2001,371.59,370.17
World,OWID_WRL,4/15/2001,371.91,370.23
World,OWID_WRL,5/15/2001,371.81,370.29
World,OWID_WRL,6/15/2001,370.85,370.33
World,OWID_WRL,7/15/2001,369.45,370.57
World,OWID_WRL,8/15/2001,368.32,370.79
World,OWID_WRL,9/15/2001,368.36,370.89
World,OWID_WRL,10/15/2001,369.72,371.11
World,OWID_WRL,11/15/2001,371.05,371.26
World,OWID_WRL,12/15/2001,371.96,371.44
World,OWID_WRL,1/15/2002,372.53,371.56
World,OWID_WRL,2/15/2002,372.92,371.67
World,OWID_WRL,3/15/2002,373.37,371.85
World,OWID_WRL,4/15/2002,373.72,371.96
World,OWID_WRL,5/15/2002,373.7,372.13
World,OWID_WRL,6/15/2002,372.84,372.3
World,OWID_WRL,7/15/2002,371.41,372.55
World,OWID_WRL,8/15/2002,370.37,372.9
World,OWID_WRL,9/15/2002,370.69,373.31
World,OWID_WRL,10/15/2002,371.96,373.44
World,OWID_WRL,11/15/2002,373.29,373.58
World,OWID_WRL,12/15/2002,374.27,373.82
World,OWID_WRL,1/15/2003,374.95,373.94
World,OWID_WRL,2/15/2003,375.47,374.16
World,OWID_WRL,3/15/2003,375.92,374.34
World,OWID_WRL,4/15/2003,376.39,374.61
World,OWID_WRL,5/15/2003,376.51,374.92
World,OWID_WRL,6/15/2003,375.68,375.14
World,OWID_WRL,7/15/2003,374.16,375.3
World,OWID_WRL,8/15/2003,372.93,375.51
World,OWID_WRL,9/15/2003,373.11,375.78
World,OWID_WRL,10/15/2003,374.39,375.92
World,OWID_WRL,11/15/2003,375.68,376.01
World,OWID_WRL,12/15/2003,376.53,376.11
World,OWID_WRL,1/15/2004,377.21,376.23
World,OWID_WRL,2/15/2004,377.73,376.42
World,OWID_WRL,3/15/2004,378.15,376.56
World,OWID_WRL,4/15/2004,378.47,376.7
World,OWID_WRL,5/15/2004,378.4,376.81
World,OWID_WRL,6/15/2004,377.51,376.97
World,OWID_WRL,7/15/2004,375.97,377.16
World,OWID_WRL,8/15/2004,374.5,377.14
World,OWID_WRL,9/15/2004,374.39,377.06
World,OWID_WRL,10/15/2004,375.73,377.22
World,OWID_WRL,11/15/2004,377.2,377.49
World,OWID_WRL,12/15/2004,378.17,377.68
World,OWID_WRL,1/15/2005,378.73,377.76
World,OWID_WRL,2/15/2005,379.19,377.88
World,OWID_WRL,3/15/2005,379.82,378.22
World,OWID_WRL,4/15/2005,380.3,378.5
World,OWID_WRL,5/15/2005,380.43,378.81
World,OWID_WRL,6/15/2005,379.61,379.02
World,OWID_WRL,7/15/2005,377.95,379.11
World,OWID_WRL,8/15/2005,376.73,379.36
World,OWID_WRL,9/15/2005,376.77,379.47
World,OWID_WRL,10/15/2005,378.09,379.64
World,OWID_WRL,11/15/2005,379.54,379.87
World,OWID_WRL,12/15/2005,380.52,380.04
World,OWID_WRL,1/15/2006,381.32,380.31
World,OWID_WRL,2/15/2006,381.94,380.57
World,OWID_WRL,3/15/2006,382.32,380.69
World,OWID_WRL,4/15/2006,382.65,380.82
World,OWID_WRL,5/15/2006,382.61,380.96
World,OWID_WRL,6/15/2006,381.75,381.14
World,OWID_WRL,7/15/2006,380.07,381.27
World,OWID_WRL,8/15/2006,378.49,381.2
World,OWID_WRL,9/15/2006,378.61,381.38
World,OWID_WRL,10/15/2006,380.04,381.62
World,OWID_WRL,11/15/2006,381.41,381.74
World,OWID_WRL,12/15/2006,382.38,381.9
World,OWID_WRL,1/15/2007,383.03,382
World,OWID_WRL,2/15/2007,383.54,382.14
World,OWID_WRL,3/15/2007,384.01,382.36
World,OWID_WRL,4/15/2007,384.27,382.44
World,OWID_WRL,5/15/2007,384.12,382.49
World,OWID_WRL,6/15/2007,383.26,382.69
World,OWID_WRL,7/15/2007,381.55,382.81
World,OWID_WRL,8/15/2007,380.3,383.05
World,OWID_WRL,9/15/2007,380.69,383.46
World,OWID_WRL,10/15/2007,382.1,383.65
World,OWID_WRL,11/15/2007,383.45,383.73
World,OWID_WRL,12/15/2007,384.46,383.95
World,OWID_WRL,1/15/2008,385.22,384.2
World,OWID_WRL,2/15/2008,385.74,384.35
World,OWID_WRL,3/15/2008,386.15,384.52
World,OWID_WRL,4/15/2008,386.54,384.73
World,OWID_WRL,5/15/2008,386.49,384.86
World,OWID_WRL,6/15/2008,385.57,385.01
World,OWID_WRL,7/15/2008,384.08,385.41
World,OWID_WRL,8/15/2008,382.76,385.56
World,OWID_WRL,9/15/2008,382.54,385.29
World,OWID_WRL,10/15/2008,383.67,385.15
World,OWID_WRL,11/15/2008,385.17,385.4
World,OWID_WRL,12/15/2008,386.27,385.72
World,OWID_WRL,1/15/2009,387.03,385.98
World,OWID_WRL,2/15/2009,387.48,386.05
World,OWID_WRL,3/15/2009,387.71,386.05
World,OWID_WRL,4/15/2009,387.99,386.17
World,OWID_WRL,5/15/2009,387.95,386.35
World,OWID_WRL,6/15/2009,386.96,386.46
World,OWID_WRL,7/15/2009,385.01,386.42
World,OWID_WRL,8/15/2009,383.63,386.5
World,OWID_WRL,9/15/2009,383.93,386.66
World,OWID_WRL,10/15/2009,385.49,386.92
World,OWID_WRL,11/15/2009,386.94,387.12
World,OWID_WRL,12/15/2009,387.84,387.27
World,OWID_WRL,1/15/2010,388.62,387.6
World,OWID_WRL,2/15/2010,389.33,387.93
World,OWID_WRL,3/15/2010,389.68,388.03
World,OWID_WRL,4/15/2010,389.98,388.17
World,OWID_WRL,5/15/2010,389.95,388.36
World,OWID_WRL,6/15/2010,389.01,388.51
World,OWID_WRL,7/15/2010,387.35,388.75
World,OWID_WRL,8/15/2010,386.23,389.05
World,OWID_WRL,9/15/2010,386.7,389.4
World,OWID_WRL,10/15/2010,388.25,389.68
World,OWID_WRL,11/15/2010,389.62,389.8
World,OWID_WRL,12/15/2010,390.37,389.82
World,OWID_WRL,1/15/2011,390.93,389.88
World,OWID_WRL,2/15/2011,391.36,389.93
World,OWID_WRL,3/15/2011,391.67,390.03
World,OWID_WRL,4/15/2011,392.05,390.24
World,OWID_WRL,5/15/2011,392.08,390.46
World,OWID_WRL,6/15/2011,391.13,390.63
World,OWID_WRL,7/15/2011,389.19,390.56
World,OWID_WRL,8/15/2011,387.86,390.64
World,OWID_WRL,9/15/2011,388.26,390.98
World,OWID_WRL,10/15/2011,389.83,391.3
World,OWID_WRL,11/15/2011,391.21,391.42
World,OWID_WRL,12/15/2011,392.04,391.54
World,OWID_WRL,1/15/2012,392.61,391.55
World,OWID_WRL,2/15/2012,393.21,391.78
World,OWID_WRL,3/15/2012,393.73,392.09
World,OWID_WRL,4/15/2012,393.99,392.19
World,OWID_WRL,5/15/2012,393.88,392.28
World,OWID_WRL,6/15/2012,392.85,392.36
World,OWID_WRL,7/15/2012,391,392.43
World,OWID_WRL,8/15/2012,389.88,392.73
World,OWID_WRL,9/15/2012,390.56,393.27
World,OWID_WRL,10/15/2012,392.16,393.59
World,OWID_WRL,11/15/2012,393.57,393.74
World,OWID_WRL,12/15/2012,394.39,393.82
World,OWID_WRL,1/15/2013,395.07,394.09
World,OWID_WRL,2/15/2013,395.69,394.33
World,OWID_WRL,3/15/2013,396.29,394.67
World,OWID_WRL,4/15/2013,396.74,394.93
World,OWID_WRL,5/15/2013,396.75,395.14
World,OWID_WRL,6/15/2013,395.96,395.44
World,OWID_WRL,7/15/2013,394.47,395.83
World,OWID_WRL,8/15/2013,393.23,396.01
World,OWID_WRL,9/15/2013,393.21,395.88
World,OWID_WRL,10/15/2013,394.5,395.93
World,OWID_WRL,11/15/2013,395.96,396.15
World,OWID_WRL,12/15/2013,396.87,396.34
World,OWID_WRL,1/15/2014,397.51,396.43
World,OWID_WRL,2/15/2014,397.97,396.54
World,OWID_WRL,3/15/2014,398.27,396.59
World,OWID_WRL,4/15/2014,398.63,396.78
World,OWID_WRL,5/15/2014,398.69,397.03
World,OWID_WRL,6/15/2014,397.73,397.15
World,OWID_WRL,7/15/2014,396.13,397.46
World,OWID_WRL,8/15/2014,395.02,397.83
World,OWID_WRL,9/15/2014,395.12,397.89
World,OWID_WRL,10/15/2014,396.38,397.91
World,OWID_WRL,11/15/2014,397.86,398.15
World,OWID_WRL,12/15/2014,398.84,398.36
World,OWID_WRL,1/15/2015,399.56,398.51
World,OWID_WRL,2/15/2015,400.12,398.69
World,OWID_WRL,3/15/2015,400.56,398.86
World,OWID_WRL,4/15/2015,400.96,399.09
World,OWID_WRL,5/15/2015,400.9,399.25
World,OWID_WRL,6/15/2015,400.06,399.49
World,OWID_WRL,7/15/2015,398.39,399.67
World,OWID_WRL,8/15/2015,397.07,399.85
World,OWID_WRL,9/15/2015,397.34,400.14
World,OWID_WRL,10/15/2015,398.8,400.37
World,OWID_WRL,11/15/2015,400.36,400.68
World,OWID_WRL,12/15/2015,401.66,401.18
World,OWID_WRL,1/15/2016,402.64,401.61
World,OWID_WRL,2/15/2016,403.27,401.88
World,OWID_WRL,3/15/2016,403.86,402.19
World,OWID_WRL,4/15/2016,404.39,402.53
World,OWID_WRL,5/15/2016,404.45,402.8
World,OWID_WRL,6/15/2016,403.66,403.05
World,OWID_WRL,7/15/2016,402.11,403.33
World,OWID_WRL,8/15/2016,400.8,403.54
World,OWID_WRL,9/15/2016,400.99,403.79
World,OWID_WRL,10/15/2016,402.42,404.02
World,OWID_WRL,11/15/2016,403.78,404.11
World,OWID_WRL,12/15/2016,404.69,404.22
World,OWID_WRL,1/15/2017,405.33,404.23
World,OWID_WRL,2/15/2017,405.91,404.48
World,OWID_WRL,3/15/2017,406.32,404.63
World,OWID_WRL,4/15/2017,406.61,404.74
World,OWID_WRL,5/15/2017,406.65,404.99
World,OWID_WRL,6/15/2017,405.86,405.27
World,OWID_WRL,7/15/2017,404.11,405.38
World,OWID_WRL,8/15/2017,402.57,405.39
World,OWID_WRL,9/15/2017,402.66,405.51
World,OWID_WRL,10/15/2017,404.16,405.74
World,OWID_WRL,11/15/2017,405.7,406
World,OWID_WRL,12/15/2017,406.75,406.25
World,OWID_WRL,1/15/2018,407.56,406.52
World,OWID_WRL,2/15/2018,408.24,406.86
World,OWID_WRL,3/15/2018,408.76,407.14
World,OWID_WRL,4/15/2018,409.08,407.28
World,OWID_WRL,5/15/2018,408.98,407.36
World,OWID_WRL,6/15/2018,408.09,407.46
World,OWID_WRL,7/15/2018,406.47,407.69
World,OWID_WRL,8/15/2018,405.1,407.85
World,OWID_WRL,9/15/2018,405.17,407.97
World,OWID_WRL,10/15/2018,406.65,408.21
World,OWID_WRL,11/15/2018,408.13,408.4
World,OWID_WRL,12/15/2018,409.18,408.67
World,OWID_WRL,1/15/2019,409.92,408.88
World,OWID_WRL,2/15/2019,410.34,408.97
World,OWID_WRL,3/15/2019,410.89,409.26
World,OWID_WRL,4/15/2019,411.33,409.54
World,OWID_WRL,5/15/2019,411.34,409.71
World,OWID_WRL,6/15/2019,410.53,409.9
World,OWID_WRL,7/15/2019,408.88,410.1
World,OWID_WRL,8/15/2019,407.65,410.4
World,OWID_WRL,9/15/2019,407.92,410.71
World,OWID_WRL,10/15/2019,409.44,411
World,OWID_WRL,11/15/2019,410.87,411.14
World,OWID_WRL,12/15/2019,411.76,411.25
World,OWID_WRL,1/15/2020,412.43,411.39
World,OWID_WRL,2/15/2020,412.95,411.58
World,OWID_WRL,3/15/2020,413.44,411.81
World,OWID_WRL,4/15/2020,413.86,412.07
World,OWID_WRL,5/15/2020,413.81,412.18
World,OWID_WRL,6/15/2020,412.88,412.26
World,OWID_WRL,7/15/2020,411.17,412.38
World,OWID_WRL,8/15/2020,409.73,412.49
World,OWID_WRL,9/15/2020,410,412.79
World,OWID_WRL,10/15/2020,411.67,413.23
World,OWID_WRL,11/15/2020,413.25,413.52
World,OWID_WRL,12/15/2020,414.14,413.64
World,OWID_WRL,1/15/2021,414.79,413.75
World,OWID_WRL,2/15/2021,415.3,413.93
World,OWID_WRL,3/15/2021,415.63,414
World,OWID_WRL,4/15/2021,415.93,414.14
World,OWID_WRL,5/15/2021,416.22,414.59
World,OWID_WRL,6/15/2021,415.48,414.86
